Países/Territórios|USE
32700|CUBA
88509900|BRAZIL
(Argentina)|ARGENTINA
(Chile|CHILE
(India|INDIA
(Venezuela)|VENEZUELA
, Brasil|BRAZIL
, Chile|CHILE
, People's Republic of China|PEOPLES R CHINA
, Reino Unido|UNITED KIGDOM
, República Argentina|ARGENTINA
, South Africa|SOUTH AFRICA
, United States|USA
, United States of America|USA
. Argentina|ARGENTINA
. Chile|CHILE
. España|SPAIN
. Venezuela|VENEZUELA
<A HREF="mailto:imartins@usp.br">imartins@usp.br</A>|BRAZIL
<A HREF="mailto:levy@incaper.es.gov.br">levy@incaper.es.gov.br</A>|BRAZIL
<a href="mailto:mariaelenaneira@hotmail.com">mariaelenaneira@hotmail.com</a>|CHILE
<A HREF="mailto:rquinone@udec.cl%20">rquinone@udec.cl </A>|CHILE
<Chile</|CHILE
01402 971|BRAZIL
01402-971|BRAZIL
05015 901|BRAZIL
05015-901|BRAZIL
05508 900|BRAZIL
05508-900|BRAZIL
05508-901|BRAZIL
13084 971|BRAZIL
13084-971|BRAZIL
13460-000|BRAZIL
13560 970|BRAZIL
13560-970|BRAZIL
13565-905|BRAZIL
13635 900|BRAZIL
13635-900|BRAZIL
15385 000|BRAZIL
15385-000|BRAZIL
18618 000|BRAZIL
18618 970|BRAZIL
18618-000|BRAZIL
18618-970|BRAZIL
21040 360|BRAZIL
21040-360|BRAZIL
21041 210|BRAZIL
21041-210|BRAZIL
21615 220|BRAZIL
21615-220|BRAZIL
21941 909|BRAZIL
21941-909|BRAZIL
23851-970|BRAZIL
28013 602|BRAZIL
28013-602|BRAZIL
28360-000|BRAZIL
29075 010|BRAZIL
29075-010|BRAZIL
29102-770|BRAZIL
30130-007|BRAZIL
30160 030|BRAZIL
30160-030|BRAZIL
36571 000|BRAZIL
36571-000|BRAZIL
37200 000|BRAZIL
37200-000|BRAZIL
39400-401|BRAZIL
49080 470|BRAZIL
49080-470|BRAZIL
49100 000|BRAZIL
49100-000|BRAZIL
50670 420|BRAZIL
50670 901|BRAZIL
50670-420|BRAZIL
50670-901|BRAZIL
52171 900|BRAZIL
52171-900|BRAZIL
58109 970|BRAZIL
58109-970|BRAZIL
58390 000|BRAZIL
58390-000|BRAZIL
58397 000|BRAZIL
58397-000|BRAZIL
58700 000|BRAZIL
58700-000|BRAZIL
59 059 900|BRAZIL
59.059-900|BRAZIL
59072 970|BRAZIL
59072-970|BRAZIL
59625 900|BRAZIL
59625-900|BRAZIL
68743 080|BRAZIL
68743-080|BRAZIL
70610 200|BRAZIL
70610-200|BRAZIL
72002 970|BRAZIL
72002-970|BRAZIL
74001 970|BRAZIL
74001-970|BRAZIL
74605 050|BRAZIL
74605-050|BRAZIL
76940 000|BRAZIL
76940-000|BRAZIL
77400 000|BRAZIL
77400-000|BRAZIL
79106 550|BRAZIL
79106-550|BRAZIL
79320 900|BRAZIL
79320-900|BRAZIL
80 100|CUBA
81531 990|BRAZIL
81531-990|BRAZIL
85960 000|BRAZIL
85960-000|BRAZIL
88010 970|BRAZIL
88010-970|BRAZIL
88035 001|BRAZIL
88035-001|BRAZIL
88062 025|BRAZIL
88062-025|BRAZIL
88520 000|BRAZIL
88520-000|BRAZIL
89809 000|BRAZIL
89809-000|BRAZIL
90035 003|BRAZIL
90035-003|BRAZIL
90050-170|BRAZIL
90619-900|BRAZIL
96010 900|BRAZIL
96010-900|BRAZIL
96201 900|BRAZIL
96201-900|BRAZIL
97105 900|BRAZIL
97105-900|BRAZIL
A Coruña|SPAIN
A HREF MAILTO IMARTINS USP BR IMARTINS USP BR A|BRAZIL
A HREF MAILTO LEVY INCAPER ES GOV BR LEVY INCAPER ES GOV BR A|BRAZIL
A HREF MAILTO MARIAELENANEIRA HOTMAIL COM MARIAELENANEIRA HOTMAIL COM A|BRAZIL
ACORES|PORTUGAL
Açores|PORTUGAL
Adelaide|AUSTRALIA
ADELI SERCOMTEL COM BR|BRAZIL
adeli@sercomtel.com.br|BRAZIL
AFCIRELLI FVET UBA AR|BRAZIL
afcirelli@fvet.uba.ar|ARGENTINA
AFGHANISTAN|AFGHANISTAN
AFRICA|SOUTH AFRICA
África|SOUTH AFRICA
AFRICA DO SUL|SOUTH AFRICA
África do Sul|SOUTH AFRICA
AGENTINA|ARGENTINA
AHMEDABAD|INDIA
AIRES ARGENTINA|ARGENTINA
AK|USA
AL|BRAZIL
ALAGOAS|BRAZIL
ALASKA|USA
ALBANIA|ALBANIA
ALEMANHA|GERMANY
Alemanha Ocidental|GERMANY
ALEMANIA|GERMANY
Alemania Federal|GERMANY
ALGERIA|ALGERIA
ALGERIE|ALGERIA
Algérie|ALGERIA
ALGÉRIE|ALGERIA
ALTO BIOBIO|CHILE
AM|BRAZIL
AMARTINR US ES|SPAIN
amartinr@us.es|SPAIN
AMAZONAS|BRAZIL
ANDAMAN AND NICOBAR ISLANDS|INDIA
ANDORRA|ANDORRA
ANGOLA|ANGOLA
ANTIGUA AND BARBUDA|ANTIGUA BARBU
ANTIGUA BARBU|ANTIGUA BARBU
ANTIOQUIA|COLOMBIA
ANTOFAGASTA|CHILE
AR|ARGENTINA
Arabia|U ARAB EMIRATES
ARABIA SAUDITA|SAUDI ARABIA
Arábia Saudita|SAUDI ARABIA
ARAGUA|VENEZUELA
ARG|ARGENTINA
Arg.|ARGENTINA
ARGELIA|ALGERIA
Argenina|ARGENTINA
ARGENITNA|ARGENTINA
ARGENTIN|ARGENTINA
ARGENTINA|ARGENTINA
¬Argentina|ARGENTINA
Ar¬gentina|ARGENTINA
ARGENTINA A NAME BM A|ARGENTINA
ARGENTINA A NAME BM2 A|ARGENTINA
Argentina,|ARGENTINA
Argentina.|ARGENTINA
Argentina<A NAME="BM_"></A>|ARGENTINA
Argentina<A NAME="BM2"></A>|ARGENTINA
ARGENTINE|ARGENTINA
ARGENTINE REPUBLIC|ARGENTINA
ARGENTITINA|ARGENTINA
ARGETINA|ARGENTINA
ARMENIA|ARMENIA
ARQENTINA|ARGENTINA
ASTURIAS|SPAIN
AUSTRALIA|AUSTRALIA
Austrália|AUSTRALIA
Australia.|AUSTRALIA
AUSTRIA|AUSTRIA
Áustria|AUSTRIA
Àustria|AUSTRIA
Autralia|AUSTRALIA
AVEIRO|PORTUGAL
AVRMLCCR EERP USP BR|BRAZIL
avrmlccr@eerp.usp.br|BRAZIL
BA|BRAZIL
BAHAMAS|BAHAMAS
BAHIA|BRAZIL
BAHRAIN|BAHRAIN
BAJA CALIFORNIA MEXICO|MEXICO
Baja California México|MEXICO
BANGKOK THAILAND|THAILAND
BANGLADESH|BANGLADESH
BARBADOS|BARBADOS
BARCELONA|SPAIN
BARSIL|BRAZIL
BARZIL|BRAZIL
BASIL|BRAZIL
BEGIUM|BELGIUM
BELARUS|BELARUS
BELGICA|BELGIUM
BÉLGICA|BELGIUM
Bélgica|BELGIUM
België|BELGIUM
BELGIQUE|BELGIUM
BELGIUM|BELGIUM
BELICE|BELIZE
BELIZE|BELIZE
BENIN|BENIN
Bénin|BENIN
BERLIN|GERMANY
BHUTAN|BHUTAN
BOGOTA|COLOMBIA
Bogotá|COLOMBIA
BOLIVIA|BOLIVIA
Bolívia|BOLIVIA
Bolivie|BOLIVIA
BOSNIA AND HERZEGOVINA|BOSNIA HERCEG
BOSNIA HERCEG|BOSNIA HERCEG
BOTSWANA|BOTSWANA
BOTUCATU|BRAZIL
BOYACA|COLOMBIA
Boyacá|COLOMBIA
BR|BRAZIL
BRA SIL|BRAZIL
BRAIL|BRAZIL
BRAISL|BRAZIL
BRAS|BRAZIL
BRASI|BRAZIL
BRASI L|BRAZIL
Brasi.l|BRAZIL
BRASIL|BRAZIL
Brasíl|BRAZIL
Brasil,|BRAZIL
Brasil.|BRAZIL
Brasil;|BRAZIL
BRASILB|BRAZIL
BRASILE|BRAZIL
BRASILIA|BRAZIL
Brasília|BRAZIL
BRASILL|BRAZIL
BRASILS|BRAZIL
BRASL|BRAZIL
BRASSIL|BRAZIL
BRAZI|BRAZIL
Brazi.l|BRAZIL
Brazi1|BRAZIL
BRAZIL|BRAZIL
Brazíl|BRAZIL
Brâzil|BRAZIL
BRAZIL E MAIL|BRAZIL
Brazil e-mail|BRAZIL
Brazil.|BRAZIL
Brazil<|BRAZIL
BRAZILI|BRAZIL
BRAZILIL|BRAZIL
BRAZILL|BRAZIL
Brazli|BRAZIL
BRESIL|BRAZIL
Brésil|BRAZIL
BRISTOL|ENGLAND
BRITISH WEST INDIES|WEST INDIES
BRSIL|BRAZIL
BRTASIL|BRAZIL
BRUXELLES|BELGIUM
BRZAIL|BRAZIL
BRZIL|BRAZIL
BUCARAMANGA|COLOMBIA
BUENOS AIRES|ARGENTINA
BULGARIA|BULGARIA
Bulgária|BULGARIA
BULGARY|BULGARIA
BURKINA|BURKINA FASO
BURKINA FASO|BURKINA FASO
Burundi|BURUNDI
C R|COSTA RICA
C.R|COSTA RICA
CABO VERDE|CAPE VERDE
Cáceres|BRAZIL
CADIZ|SPAIN
Cádiz|SPAIN
CALI|COLOMBIA
CALIFORNIA|USA
CAMAGUEY|CUBA
Camagüey|CUBA
CAMBODIA|CAMBODIA
CAMEROON|CAMEROON
CAMEROUN|CAMEROON
CAMERUN|CAMEROON
Camerún|CAMEROON
Campinas|BRAZIL
CANADA|CANADA
Canadá|CANADA
canadá|CANADA
CANADÁ|CANADA
Canada,|CANADA
Canadan|CANADA
Cape Town|SOUTH AFRICA
CAPE VERDE|CAPE VERDE
CARABOBO|VENEZUELA
CARACAS|VENEZUELA
carlos@icb2.ufg.br|BRAZIL
CARVALHO UFRRJ BR|BRAZIL
carvalho@ufrrj.br|BRAZIL
CATAR|QATAR
CAYMAN ISLANDS|W IND ASSOC ST
CCOLOMBIA|COLOMBIA
CE|BRAZIL
CEARA|BRAZIL
Ceará|BRAZIL
CENT AFR REPUBL|CENT AFR REPUBL
CENTRAL AFRICAN REPUBLIC|CENT AFR REPUBL
CF10 3AX|UNITED KINGDOM
CHAD|CHAD
CHANIA GREECE|GREECE
Chania,Greece|GREECE
Cheshire|UNITED KIGDOM
CHIAPAS|MEXICO
Chicago|USA
CHIILE|CHILE
CHIL|CHILE
CHILA|CHILE
CHILE|CHILE
Chíle|CHILE
Chile <A NAME="medicina"></A>|CHILE
Chile <A NAME="servicio"></A>|CHILE
Chile <a name=BM4></a>|CHILE
CHILE A NAME AF4 A|CHILE
CHILE A NAME BM3 A|CHILE
CHILE A NAME BM4 A|CHILE
CHILE A NAME MEDICINA A|CHILE
CHILE A NAME SERVICIO A|CHILE
CHILE A NAME Z A|CHILE
Chile,|CHILE
Chile.|CHILE
CHILE.|CHILE
Chile<|CHILE
Chile<A NAME="a2"></A>|CHILE
Chile<A NAME="af4"></A>|CHILE
Chile<A NAME="BM3"></A>|CHILE
Chile<A NAME="z"></A>|CHILE
CHILLAN|CHILE
Chillán|CHILE
CHILLE|CHILE
CHIN|PEOPLES R CHINA
CHINA|PEOPLES R CHINA
CHINESE TAIWAN|TAIWAN
CHIPRE|CYPRUS
CHLILE E MAIL|CHILE
Chlile. e-mail|CHILE
CHOCO|COLOMBIA
Chocó|COLOMBIA
CIUDAD DE LA HABANA|CUBA
CIUDAD DE MEXICO|MEXICO
Ciudad de México|MEXICO
CLARA|CUBA
COAHUILA|MEXICO
COL|COLOMBIA
COLOBIA|COLOMBIA
Colom|COLOMBIA
COLOMBI|COLOMBIA
COLOMBI A|COLOMBIA
COLOMBIA|COLOMBIA
Colombía|COLOMBIA
Colômbia|COLOMBIA
COLOMBIA S A|COLOMBIA
Colombia S.A|COLOMBIA
Colombia)|COLOMBIA
Colombia.|COLOMBIA
COLOMBIE|COLOMBIA
COLUMBIA|COLOMBIA
CONCEPCIO|CHILE
Concepció|CHILE
CONCEPCION|CHILE
Concepción|CHILE
CONGO|CONGO
CONNECTICUT|USA
CORDOBA|SPAIN
Córdoba|SPAIN
Corea|SOUTH KOREA
COREIA|SOUTH KOREA
COREIA DO SUL|SOUTH KOREA
Coréia do Sul|SOUTH KOREA
CORREO|CUBA
CORRESPONDENCIA|MEXICO
COSA RICA|COSTA RICA
COSTA|COSTA RICA
Costa - Rica|COSTA RICA
COSTA RIC|COSTA RICA
COSTA RICA|COSTA RICA
Costa Rica.|COSTA RICA
CostaRica|COSTA RICA
COTE D IVOIRE|COTE IVOIRE
Cotê d´Ivoire|COTE IVOIRE
Côte d’Ivoire|COTE IVOIRE
Côte d'Ivoire|COTE IVOIRE
Côte D'ivoire|COTE IVOIRE
Cote d'lvoire|COTE IVOIRE
Cóte d'lvoire|COTE IVOIRE
CROACIA|CROATIA
CROATIA|CROATIA
CUB|CUBA
CUBA|CUBA
CUBA A NAME CARGO A|CUBA
Cuba,|CUBA
Cuba.|CUBA
Cuba..|CUBA
Cuba<A NAME="cargo"></A>|CUBA
Cubana|CUBA
CUNDINAMARCA|DENMARK
CURITIBA|BRAZIL
CYPRUS|CYPRUS
CZECH REPUBLIC|CZECH REPUBLIC
Czechoslovakia|CZECH REPUBLIC
Czeochoslovakia|CZECH REPUBLIC
D F MEXICO|MEXICO
D.F.-México|MEXICO
DC|USA
DEMOCRATIC REPUBLIC OF CONGO|ZAIRE
DEMOCRATIC REPUBLIC OF THE CONGO|ZAIRE
DENMARK|DENMARK
DEUTCHLAND|GERMANY
DEUTSCHLAND|GERMANY
DINAMARCA|DENMARK
DK|DENMARK
DOHA|QATAR
DOMINICA|DOMINICA
DOMINICAN REP|DOMINICAN REP
DOMINICAN REPUBLIC|DOMINICAN REP
DRC|ZAIRE
DUBAI|U ARAB EMIRATES
Durban|SOUTH AFRICA
E Cape|SOUTH AFRICA
E E U U|USA
E MAIL|BRAZIL
E U A|USA
E. U. A|USA
E. U. A.|USA
E.E. U.U.|USA
E.E.U.U|USA
E.E.U.U.|USA
E.U.|USA
E.U.A|USA
E.U.A.|USA
EAU|U ARAB EMIRATES
ECUADOR|ECUADOR
EDO DE MEXICO|MEXICO
EDO VENEZUELA|VENEZUELA
edo. de México|MEXICO
Edo. Miranda|VENEZUELA
Edo. Venezuela|VENEZUELA
EE U|USA
EE UU|USA
EE. UU|USA
EE. UU.|USA
EE.U|USA
EE.UU|USA
EE.UU.|USA
EE.UU. de Norteamérica|USA
EE:UU|USA
EEEU|USA
EESPANA|SPAIN
Eespaña|SPAIN
EEUU|USA
EGIPTO|EGYPT
EGITO|EGYPT
EGYPT|EGYPT
EL SALVADOR|EL SALVADOR
EL SALVADOR LA REVISTA DE LA ASOCIACION SALVADORENA DE CARDIOLOGIA SE EDITO EN EL PERIODO 2003 2005|EL SALVADOR
El Salvador. * La Revista de la Asociación Salvadoreña de Cardiología se editó en el periodo 2003-2005|EL SALVADOR
ELVAS|PORTUGAL
EMILIOAZ UFMT BR|BRAZIL
emilioaz@ufmt.br|BRAZIL
EMIRATOS ARABES UNIDOS|U ARAB EMIRATES
EMIRATOS ÁRABES UNIDOS|U ARAB EMIRATES
Emiratos Árabes Unidos|U ARAB EMIRATES
ENGLAND|ENGLAND
ENGLAND AND WALES|UNITED KINGDOM
ENGLAND UK|ENGLAND
England, UK|ENGLAND
Entre Ríos|ARGENTINA
EPANA|SPAIN
Epaña|SPAIN
EQUADOR|ECUADOR
ERITREA|ERITREA
ESCOCIA|SCOTLAND
Escócia|SCOTLAND
ESCOCIA REINO UNIDO|UNITED KINGDOM
Escocia, Reino Unido|SCOTLAND
ESLOVAQUIA|SLOVAKIA
Eslováquia|SLOVAKIA
ESLOVENIA|SLOVENIA
Eslovênia|SLOVENIA
ESPA NTILDE A|SPAIN
Espa&ntilde;a|SPAIN
ESPAA A|SPAIN
EspaÃ±a|SPAIN
ESPAIN|SPAIN
ESPAN|SPAIN
Españ|SPAIN
ESPANA|SPAIN
Espanã|SPAIN
ESPAÑA|SPAIN
España|SPAIN
españa|SPAIN
Espãna|SPAIN
Éspaña|SPAIN
España a|SPAIN
España.|SPAIN
España;|SPAIN
ESPANHA|SPAIN
ESPANHAL|SPAIN
ESPANYA|SPAIN
ESPNAA|SPAIN
Espñaa|SPAIN
Est. Unidos|USA
ESTADO DE MEXICO|MEXICO
Estado de México|MEXICO
Estado de México, México|MEXICO
Estado Libre Asociado de Puerto Rico|PUERTO RICO
ESTADOS|USA
ESTADOS UNIDO|USA
ESTADOS UNIDOS|USA
ESTADOS UNIDOS DA AMERICA|USA
Estados Unidos da América|USA
ESTADOS UNIDOS DE AMERICA|USA
Estados Unidos de América|USA
Estados Unidos de América (EUA)|USA
ESTADOS UNIDOS DE NORTE AMERICA|USA
Estados Unidos de Norte América|USA
ESTADOS UNIDOS DE NORTEAMERICA|USA
Estados Unidos de Norteamérica|USA
ESTONIA|ESTONIA
ETHIOPIA|ETHIOPIA
ETIOPIA|ETHIOPIA
Etiopía|ETHIOPIA
Etiópia|ETHIOPIA
EU|USA
EUA|USA
EUA.|USA
EUROLAND|GERMANY
F.R.G|GERMANY
FAISLABAD|PAKISTAN
FCUNHA SC USP BR|BRAZIL
fcunha@sc.usp.br|BRAZIL
Fed. Rep. Germany|GERMANY
FEDERACIÓN RUSA|RUSSIAN
Federal Republic of Germany|GERMANY
FIJI|FIJI
Fiji Islands|FIJI
FINLAND|FINLAND
FINLANDIA|FINLAND
Finlândia|FINLAND
FLORIDA|USA
FR|FRANCE
FRANCA|FRANCE
FRANÇA|FRANCE
França|FRANCE
FRANCE|FRANCE
France.|FRANCE
France. <A NAME="BM_"></A>|FRANCE
Frances.af|FRANCE
FRANCIA|FRANCE
Francia.|FRANCE
FRENCH|FRANCE
FRENCH GUIANA|FRENCH GUIANA
French-Guiana|FRENCH GUIANA
FRG|GERMANY
G B|UNITED KINGDOM
G. B.|GERMANY
GA|USA
GABON|GABON
GABRIELA FIOCRUZ BR|BRAZIL
gabriela@fiocruz.br|BRAZIL
GALES|WALES
GAMBIA|GAMBIA
Ga-Rankuwa|SOUTH AFRICA
