BD|Correção
(Pontificia Universidad Javeriana|Pontificia Universidad Javeriana
 Centro Interdisciplinar de Terapia Gênica, Universidade Federal de São Paulo|Universidade Federal de São Paulo
 Departamento de Biofísica, Universidade Federal de São Paulo|Universidade Federal de São Paulo
 Departamento de Biologia Geral, Instituto de Ciências Biológicas, Universidade Federal de Goiás|Universidade Federal de Goiás
 Departamento de Ciências Biológicas, Centro de Ciências Humanas e Naturais, Universidade Federal do Espírito Santo|Universidade Federal do Espírito Santo
 Departamento de Ciências Biológicas, Universidade Federal de São Paulo|Universidade Federal de São Paulo
 Departamento de Entomologia, Fitopatologia e Zoologia Agrícola, Escola Superior de Agricultura "Luiz de Queiroz", Universidade de São Paulo|Universidade de São Paulo
 Departamento de Fisiologia, Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul
 Departamento de Genética e Biologia Evolutiva, Instituto de Biociências, Universidade de São Paulo|Universidade de São Paulo
 Departamento de Genética e Biologia Evolutiva, Universidade de São Paulo|Universidade de São Paulo
 Departamento de Genética e Evolução, Universidade Federal de São Carlos|Universidade Federal de São Carlos
 Departamento de Genética, Escola Superior de Agricultura Luiz de Queiroz, Universidade de São Paulo|Universidade de São Paulo
 Departamento de Genética, Instituto de Biociências, Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul
 Departamento de Genética, Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul
 Federal University of Sao Paulo, Brazil|Universidade Federal de São Paulo
 Instituto de Biotecnologia Aplicada à Agropecuária, Universidade Federal de Viçosa|Universidade Federal de Viçosa
 Laboratório de Ecotoxicologia Marinha, Instituto Oceanográfico, Universidade de São Paulo|Universidade de São Paulo
 Laboratório de Genética e Biologia Molecular, Instituto de Estudos Costeiros, Universidade Federal do Pará|Universidade Federal do Pará
 Laboratório de Mutagênese, Instituto de Genética e Bioquímica, Universidade Federal de Uberlândia|Universidade Federal de Uberlândia
 Programa de Doutorado em Ciências Ambientais, Universidade Federal de Goiás|Universidade Federal de Goiás
(DSER/ CCA/ UFPB)|Universidade Federal da Paraíba
(GEPCOL/UFPE)|Universidade Federal de Pernambuco
(HRAC/USP|Universidade de São Paulo
(PIBIC/CNPq/UFRGS)|Universidade Federal do Rio Grande do Sul
(PPGA/CCA/UFPB)|Universidade Federal da Paraíba
(PUCRS)|Pontifícia Universidade Católica do Rio Grande do Sul
(UFMT)|Universidade Federal do Mato Grosso
(UFPB)|Universidade Federal da Paraíba
(UFPel)|Universidade Federal de Pelotas
(UFRGS|Universidade Federal do Rio Grande do Sul
(UFRJ)|Universidade Federal do Rio de Janeiro
(UFS)|Universidade Federal de Sergipe
(Unesp)|Universidade Estadual Paulista
(UNICAMP)|Universidade Estadual de Campinas
(Universidade Federal Fluminense|Universidade Federal Fluminense
). Universidade Federal do Paraná|Universidade Federal do Paraná
, Escola Politécnica da Universidade de São Paulo, - SP, Brasi|Universidade de São Paulo
, Federal University of Rio Grande do Norte|Universidade Federal do Rio Grande do Norte
